D01-NF-R1	1	69.4	2) medium quality	100	6.12	55.56	Faecalibacterium prausnitzii SL3/3	strain	0.877	Faecalibacterium prausnitzii SL3/3	strain	0.877	1682242	3.13	9.06	6	1682242	2906	70	6	6	6	TRUE	TRUE	FALSE	FALSE	4	4	4	3	2	1	0	0	3126084	3109311	3109311	3109311	2943809	2569341	1682242	0	0	6	3126084	887099	1	2	0	o__Clostridiales (UID1212)	172	261	147	0	243	18	0	0	0
D01-NF-R1	10	79.1	3) high quality Nayfach	94.3	3.04	100	Proteobacteria	phylum	0.885	Proteobacteria bacterium CAG:139	species	0.658	48808	2.47	2.24	109	133991	2260	57	3	3	4	TRUE	TRUE	FALSE	TRUE	58	17	1	0	0	0	0	0	2470934	2262292	1196722	133991	0	0	0	0	0	109	2470934	28000	18	35	0	p__Proteobacteria (UID3887)	1487	255	158	10	234	11	0	0	0
D01-NF-R1	102	86.39	2) medium quality	86.39	0	0	Faecalibacterium prausnitzii L2-6	strain	1	Faecalibacterium prausnitzii L2-6	strain	1	370375	2.35	3.32	12	1042330	2167	57	6	7	6	TRUE	TRUE	FALSE	FALSE	11	10	4	3	1	1	0	0	2345926	2339925	2316665	1892572	1763655	1042330	1042330	0	0	12	2345926	350950	2	3	0	o__Clostridiales (UID1212)	172	261	147	30	231	0	0	0	0
D01-NF-R1	104	92.89	3) high quality Nayfach	93.49	0.12	0	Bilophila wadsworthia	species	0.981	Bilophila wadsworthia ATCC 49260	strain	0.589	50566	3.9	0.9	150	305405	3343	58	1	1	1	TRUE	TRUE	FALSE	TRUE	82	24	5	1	0	0	0	0	3897112	3585029	2078938	799963	305405	0	0	0	0	150	3897112	28000	22	47	0	c__Deltaproteobacteria (UID3218)	61	284	169	13	270	1	0	0	0
D01-NF-R1	2	98.66	3) high quality Nayfach	98.66	0	0	uncultured Ruminococcus sp.	species	0.982	uncultured Ruminococcus sp.	species	0.982	1942303	2.8	1.09	6	1942303	2804	52	4	4	4	TRUE	TRUE	FALSE	TRUE	5	2	2	2	2	1	0	0	2799173	2789915	2735019	2735019	2735019	2735019	1942303	0	0	6	2799173	792716	1	2	0	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0
D01-NF-R1	23_sub	-27.95	0) really bad	44.55	14.5	70.95	Streptococcus	genus	0.691	Streptococcus salivarius	species	0.203	18611	1.6	0.76	133	103869	1926	12	0	0	0	FALSE	FALSE	FALSE	FALSE	53	3	1	0	0	0	0	0	1595839	1214552	229076	103869	0	0	0	0	0	133	1595839	10311	22	52	0	g__Streptococcus (UID561)	89	679	295	355	247	54	16	6	1
D01-NF-R1	29_sub	-23.47	0) really bad	88.93	22.48	0	Firmicutes bacterium CAG:114	species	0.733	Firmicutes bacterium CAG:114	species	0.733	53778	3.13	0.48	136	178557	2983	80	3	3	5	FALSE	FALSE	FALSE	FALSE	65	19	6	0	0	0	0	0	3132621	2815140	1661126	824160	0	0	0	0	0	136	3132621	25990	18	37	0	o__Clostridiales (UID1212)	172	257	149	25	178	53	1	0	0
D01-NF-R1	30_sub	90.48	4) high quality Bowers	90.48	0	0	Faecalibacterium prausnitzii L2-6	strain	0.965	Faecalibacterium prausnitzii L2-6	strain	0.965	809995	2.84	6.04	7	919119	2672	53	6	6	6	TRUE	TRUE	TRUE	TRUE	7	7	6	5	2	0	0	0	2842492	2842492	2842492	2743223	2619235	1729114	0	0	0	7	2842492	265342	2	4	0	o__Clostridiales (UID1212)	172	261	147	21	240	0	0	0	0
D01-NF-R1	33	71.04	2) medium quality	78.09	1.41	75	Subdoligranulum sp. CAG:314	species	0.999	Subdoligranulum sp. CAG:314	species	0.999	23999	1.44	1.13	98	74003	1334	44	2	0	0	TRUE	TRUE	FALSE	FALSE	52	2	0	0	0	0	0	0	1443381	1269052	129999	0	0	0	0	0	0	98	1443381	14716	20	38	0	c__Clostridia (UID1118)	387	223	124	38	181	4	0	0	0
D01-NF-R1	35	97.1	3) high quality Nayfach	97.1	0	0	[Eubacterium] rectale M104/1	strain	0.832	[Eubacterium] rectale M104/1	strain	0.832	1977529	3.24	3.74	8	1977529	2986	55	4	4	1	TRUE	TRUE	FALSE	TRUE	8	7	6	3	1	1	0	0	3243692	3243692	3206491	3151882	2816227	1977529	1977529	0	0	8	3243692	385381	1	3	0	f__Lachnospiraceae (UID1286)	57	420	207	19	401	0	0	0	0
D01-NF-R1	37_sub	95.8	4) high quality Bowers	98.95	0.63	0	Blautia	genus	0.677	Blautia sp. OM06-15AC	species	0.351	1210983	3.72	8.54	4	1308003	3321	60	6	6	6	TRUE	TRUE	TRUE	TRUE	4	3	3	3	3	3	0	0	3723234	3723234	3682197	3682197	3682197	3682197	3682197	0	0	4	3723234	1163211	2	3	0	o__Clostridiales (UID1226)	155	278	158	3	274	1	0	0	0
D01-NF-R1	4_sub	-47.14	0) really bad	58.01	21.03	0	Eubacteriales	order	0.701	Unclassified	Unclassified	0.254	25994	2.68	0.58	179	59951	2956	57	1	1	2	FALSE	FALSE	FALSE	FALSE	93	1	0	0	0	0	0	0	2684606	2292943	59951	0	0	0	0	0	0	179	2684606	14806	38	71	0	o__Clostridiales (UID1212)	172	263	149	97	131	24	11	0	0
D01-NF-R1	44	-53.01	0) really bad	69.49	24.5	68.61	Bacteroides	genus	0.892	Bacteroides stercoris	species	0.465	37977	4.06	0.52	165	115588	5196	66	3	3	4	FALSE	FALSE	FALSE	FALSE	115	14	2	0	0	0	0	0	4063563	3778782	1068543	223588	0	0	0	0	0	165	4063563	24196	37	70	0	o__Bacteroidales (UID2657)	160	492	269	145	230	107	10	0	0
D01-NF-R1	46	79.89	4) high quality Bowers	93.29	2.68	0	Clostridiales bacterium UBA7739	species	0.954	Clostridiales bacterium UBA7739	species	0.954	2269403	2.38	6.36	4	2269403	2268	48	2	2	2	TRUE	TRUE	TRUE	TRUE	4	1	1	1	1	1	1	0	2379504	2379504	2269403	2269403	2269403	2269403	2269403	2269403	0	4	2379504	2269403	1	1	0	o__Clostridiales (UID1212)	172	263	149	13	246	4	0	0	0
