Sample	Bin	bin.quality.numeric	bin.quality.call	Completeness	Contamination	Strain.heterogeneity	lca_species	lca_level	lca_fraction	best_species	best_level	best_fraction	N50	Size.Mb	Coverage	# contigs (>= 0 bp)	Largest contig	Genes	tRNA	rna.16S	rna.23S	rna.5S	low.quality	med.quality	high.quality.nayfach	high.quality.bowers	# contigs (>= 10000 bp)	# contigs (>= 50000 bp)	# contigs (>= 100000 bp)	# contigs (>= 250000 bp)	# contigs (>= 500000 bp)	# contigs (>= 1000000 bp)	# contigs (>= 2000000 bp)	# contigs (>= 3000000 bp)	Total length (>= 0 bp)	Total length (>= 10000 bp)	Total length (>= 50000 bp)	Total length (>= 100000 bp)	Total length (>= 250000 bp)	Total length (>= 500000 bp)	Total length (>= 1000000 bp)	Total length (>= 2000000 bp)	Total length (>= 3000000 bp)	# contigs	Total length	N75	L50	L75	# N's per 100 kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.
D06-NF-R1	105	-73.04	0) really bad	86.01	31.81	72.29	Streptococcus	genus	0.711	Streptococcus thermophilus TH1436	strain	0.351	37895	2.56	0.37	118	149460	3300	78	6	6	7	FALSE	FALSE	FALSE	FALSE	74	12	2	0	0	0	0	0	2562926	2363465	956308	293388	0	0	0	0	0	118	2562926	18210	20	44	0	g__Streptococcus (UID684)	26	668	229	80	377	201	10	0	0
D06-NF-R1	11_sub	67.1	2) medium quality	79.75	2.53	100	Oscillospiraceae	family	0.673	Ruminococcus sp. OM02-16LB	species	0.148	81910	3.44	3.94	65	395170	3193	57	2	2	2	TRUE	TRUE	FALSE	FALSE	53	20	4	3	0	0	0	0	3437335	3362974	2462651	1315960	1102735	0	0	0	0	65	3437335	47807	9	23	0	o__Clostridiales (UID1226)	155	278	158	63	210	5	0	0	0
D06-NF-R1	17	98.66	3) high quality Nayfach	98.66	0	0	Clostridium sp. CAG:62	species	1	Clostridium sp. CAG:62	species	1	1957148	2.91	0.94	4	1957148	2646	49	3	3	3	TRUE	TRUE	FALSE	TRUE	4	4	4	3	2	1	0	0	2914959	2914959	2914959	2914959	2784962	2478985	1957148	0	0	4	2914959	521837	1	2	0	o__Clostridiales (UID1212)	172	263	149	3	260	0	0	0	0
D06-NF-R1	24	88.6	3) high quality Nayfach	98.1	1.9	75	Dialister invisus CAG:218	species	0.776	Dialister invisus CAG:218	species	0.776	539049	2.07	1.77	7	955310	1999	53	4	4	4	TRUE	TRUE	FALSE	TRUE	6	5	4	3	2	0	0	0	2066100	2063390	2038534	1966533	1857177	1494359	0	0	0	7	2066100	362818	2	3	0	p__Firmicutes (UID1022)	100	295	158	3	288	4	0	0	0
D06-NF-R1	25_sub	41.93	2) medium quality	53.13	2.24	75	Lachnospira eligens	species	0.711	Lachnospira eligens	species	0.711	33739	2.37	0.99	139	78961	2485	36	1	1	0	TRUE	TRUE	FALSE	FALSE	68	6	0	0	0	0	0	0	2369086	2089721	373829	0	0	0	0	0	0	139	2369086	19056	26	47	0	o__Clostridiales (UID1212)	172	263	149	117	142	4	0	0	0
D06-NF-R1	29_sub	-177.45	0) really bad	99.35	55.36	87.5	Faecalibacterium	genus	0.762	Faecalibacterium prausnitzii SL3/3	strain	0.39	1069355	4.13	9.46	10	1231848	3900	93	7	7	7	FALSE	FALSE	FALSE	FALSE	10	8	8	6	2	2	0	0	4133353	4133353	4077010	4077010	3731951	2301203	2301203	0	0	10	4133353	379139	2	4	0	k__Bacteria (UID203)	5449	102	56	4	50	48	0	0	0
D06-NF-R1	36_sub	39.91	2) medium quality	50.11	2.04	100	Eubacteriales	order	0.824	Gemmiger formicilis	species	0.636	103993	1.51	0.66	35	233939	1368	33	4	4	3	TRUE	TRUE	FALSE	FALSE	19	10	8	0	0	0	0	0	1509147	1442639	1218828	1044657	0	0	0	0	0	35	1509147	98000	6	9	0	o__Clostridiales (UID1212)	172	261	147	112	143	6	0	0	0
D06-NF-R1	37_sub	-165.09	0) really bad	85.91	50.2	6.29	Clostridium	genus	0.717	Clostridium sp. 1_1_41A1FAA	species	0.375	45329	3.99	0.22	183	149952	4371	69	5	4	5	FALSE	FALSE	FALSE	FALSE	92	22	3	0	0	0	0	0	3990878	3616704	1681645	356591	0	0	0	0	0	183	3990878	27773	29	57	0	o__Clostridiales (UID1375)	50	332	124	31	192	92	17	0	0
D06-NF-R1	45	99.06	2) medium quality	99.06	0	0	Clostridium sp. AF15-31	species	0.8	Clostridium sp. AF15-31	species	0.8	1592687	2.77	0.76	8	1592687	2376	47	4	4	0	TRUE	TRUE	FALSE	FALSE	6	6	5	3	1	1	0	0	2765505	2751661	2751661	2701585	2279648	1592687	1592687	0	0	8	2765505	313946	1	3	0	o__Clostridiales (UID1212)	172	263	149	14	249	0	0	0	0
D06-NF-R1	47	86.44	2) medium quality	87.64	0.24	0	Roseburia sp.	species	0.733	Roseburia sp.	species	0.733	274663	3	1.06	17	663310	2753	55	2	2	1	TRUE	TRUE	FALSE	FALSE	17	15	10	4	1	0	0	0	3004270	3004270	2961790	2624409	1707924	663310	0	0	0	17	3004270	134000	4	8	0	f__Lachnospiraceae (UID1286)	57	420	207	53	366	1	0	0	0
